title,company,summary,job_location,post_date,salary,availability
Python Full-stack Engineer (Remote),Grid Dynamics,"Build and upgrade the platform for various healthcare applications.
Day-to-day hands-on work with project engineering teams to ensure the best approaches for…","Remote in Charlotte, NC 28262",Posted30+ days ago,Estimated $103K - $130K a year,Full-time
Senior Software Engineer (MongoDB/Python),Canonical - Jobs,"You have experience operating and managing MongoDB clusters.
You are experienced with modern infrastructure deployment automations or with traditional Linux…","Remote in Charlotte, NC+6 locations",Posted30+ days ago,Estimated $134K - $169K a year,None
"Software Developer, Sr",Electric Power Research Institute,"May lead less experienced software developers and small projects.
Primary developer of input for effort, schedule and scope estimation.","Charlotte, NC 28262 (University City North area)",Posted13 days ago,Estimated $89.7K - $114K a year,Full-time
Machine Learning Engineer,WELLS FARGO BANK,"Act as technical lead and agile developer for key model operationalization task.
4+ years of Apache Spark design and development experience using python, Scala,…","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted10 days ago,None,Full-time
Software Engineering Manager,Microsoft,"4+ years of experience as an Agile practitioner (certified scrum master, scrum developer, scrum professional, etc.).
Good understanding of CI/CD pipelines.","Charlotte, NC",Posted13 days ago,None,Full-time
"Database Application Developer, Risk Technology",Bank of America,"Other relevant skills are tools and utility development with python, shell.
A Database-centric application developer is required to help drive the successful…","Charlotte, NC 28202 (Fourth Ward area)",Posted30+ days ago,None,Full-time
newPython Technology Lead,Infosys,"Infosys is seeking a Python Developer with experience in Big data preferred.
The position will primarily be responsible interface with key stakeholders and…","Charlotte, NC 28277 (Ballantyne West area)",Posted3 days ago,None,None
Lead Informatica Engineer,WELLS FARGO BANK,"Acting as a lead developer and providing application design, guidance, and consultation utilizing a thorough understanding of applicable technology tools and…","Charlotte, NC",Posted12 days ago,None,Full-time
DevOps Engineer,Infosys,"Infosys is seeking a DevOps Engineer who could lead responsibility for build, release and configuration processes.
This position may require travel in the US.","Charlotte, NC 28277 (Ballantyne West area)",Posted30+ days ago,None,None
Sr. Application Developer,Spectrum,"The incumbent will build moderate to complex dashboards and reporting that directly impact the consumer experience.
Experience with SQL and performance tuning.","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
Compliance Technology - Market and Trade Surveillance Lead S...,Wells Fargo,"Lead complex technology initiatives including those that are companywide with broad impact.
Act as a key participant in developing standards and companywide…","Charlotte, NC",Posted11 days ago,None,Full-time
Junior-Level SCADA and Automation Engineer,"POWER Engineers, Inc.",The successful applicant will be responsible for developing and troubleshooting supervisory control and data acquisition (SCADA) systems for utility and…,"Remote in Fort Mill, SC",Posted30+ days ago,None,None
newPrincipal Developer II,Humanity,"Coach and mentor developers by advising on writing code and technical documentation.
Responsible for providing strategic consultation in the areas of…","Charlotte, NC",Posted1 day ago,Estimated $93.1K - $118K a year,Full-time
Frontend Engineer,Theorem Geo Associates,"This is not a beginner level position, as we need someone who is experienced and ready to work.
Experience with Video On Demand Architectures.","Charlotte, NC",Posted30+ days ago,Estimated $76.4K - $96.8K a year,Full-time
Software Intelligent Quality Engineering Testing - Consultan...,Deloitte,"Acting as the integrator between the client and our Deloitte teams.
2 years of relevant consulting or industry experience.","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
DevOps Engineer (Remote Opportunity),CustomInk,We are passionate about trying new things and we follow through with 10% time and hosting regularly scheduled full-team hack-a-thons.,"Remote in Charlotte, NC",Posted30+ days ago,Estimated $113K - $143K a year,Full-time
newSenior SQL /Azure /Power BI Engineer,WELLS FARGO BANK,Wells Fargo is seeking a Senior SQL /Azure /Power BI Engineer for the Wholesale Digital and Transformational Technology Team as a part of the Corporate…,"Charlotte, NC",Posted3 days ago,None,Full-time
Software Developer III,"Moore Nanotechnology Systems, LLC","Position will leverage Microsoft SharePoint, PowerApps, Power BI, Power Automate and/or O365 resources to.
Design and implement technical solutions and analysis…","Charlotte, NC",Posted30+ days ago,Estimated $106K - $135K a year,Full-time
Lead Software Development Engineer & Mentor,"NextUp Solutions, LLC","As a mentor, you will have a tremendous impact on the future of motivated undergraduates preparing to enter the workforce.","Hybrid remote in Charlotte, NC",Posted11 days ago,Estimated $86.2K - $109K a year,Full-time +1
Full Stack Engineer,Accenture,"And you’re a clear and effective communicator both in-person and on the page.
Work with the Cloud Native Architecture Team to deliver client solutions beyond 12…","Charlotte, NC 28244 (Downtown Charlotte area)+1 location",Posted24 days ago,None,Full-time
Middleware Engineer,Bank of America,"10+ years of experience in Windows Build, Code Deployment and Windows Application troubleshooting functions.
Bachelor’s Degree in Computer Science, Information…","Charlotte, NC",Posted30+ days ago,None,Full-time
Data Modeler and Database Designer / Developer,Bank of America,A Hadoop/Impala developer with Data modeling knowledge is required to help drive the successful delivery of key technology projects in Liquidity risk.,"Charlotte, NC 28202 (Fourth Ward area)",Posted30+ days ago,None,Full-time
Senior API Developer – Backend,Citco,"HFAIT department manages the core accounting platform (Æxeo®) and data warehouse within Citco.
The platform is used by clients globally and is the first true…","Charlotte, NC 28244 (Fourth Ward area)",Posted30+ days ago,Estimated $116K - $147K a year,Full-time
